Student_ID,Attendance_Percentage,Assignment_Score,Midterm_Score,Quiz_Score,Previous_GPA,Participation_Score,Internal_Score
STU436,72.11,41.53,89.48,35.47,5.32,7.7,32.66
STU437,85.54,49.09,67.59,92.16,9.14,6.55,35.5
STU438,82.22,41.9,52.09,50.14,6.91,9.06,29.83
STU439,80.18,96.54,58.7,35.69,7.85,3.74,35.58
STU440,78.21,51.13,78.34,53.13,9.34,9.4,35.26
STU441,98.2,47.8,74.44,56.99,5.24,7.55,35.46
STU442,90.97,45.23,73.39,62.42,5.03,6.12,33.94
STU443,61.8,84.57,56.57,71.05,7.55,6.54,33.86
STU444,62.44,66.92,59.05,90.6,6.84,4.24,32.33
STU445,95.35,49.37,89.84,87.09,9.95,8.22,40.46
STU446,76.51,85.33,76.88,74.63,9.77,1.65,38.35
STU447,68.16,75.38,53.41,76.03,6.81,3.44,32.32
STU448,68.38,57.42,91.28,38.77,8.1,6.41,34.98
STU449,79.58,46.96,52.53,95.72,6.46,2.42,30.7
STU450,90.63,48.97,45.28,48.6,5.56,6.07,29.58
STU451,76.1,54.29,66.81,41.12,5.26,2.49,30.31
STU452,68.37,47.46,38.73,75.31,6.52,5.84,27.14
STU453,74.91,85.05,46.92,88.66,7.77,6.7,35.08
STU454,95.47,77.38,38.81,63.32,6.63,4.99,33.5
STU455,57.84,69.28,51.14,97.34,7.81,5.06,31.65
STU456,77.08,60.18,97.8,55.39,9.83,3.59,37.95
STU457,96.06,66.24,35.58,61.76,9.92,3.08,31.96
STU458,75.23,98.78,97.85,88.66,6.26,5.88,43.9
STU459,68.08,82.06,76.76,64.6,8.8,5.39,37.06
STU460,68.72,68.55,43.28,59.26,7.25,4.18,29.47
STU461,99.01,89.35,30.09,87.92,8.5,6.89,36.3
STU462,85,86.03,43.21,77.23,7.52,4.18,34.65
STU463,91.1,66.58,50.37,95.06,5.24,8.91,35.56
STU464,75.06,92.72,97.62,40.59,8.18,3.89,40.66
STU465,89.56,81.74,71.59,89.53,9.81,8.46,41.2
STU466,67.18,46.3,79.24,91.01,7.05,6.21,33.94
STU467,64.45,61.02,61.95,39.74,9.98,4.13,30.49
STU468,98.59,49.18,96.66,78,7.02,3.98,39.62
STU469,90.64,76.34,95.74,83.85,7.39,5.31,42.6
STU470,95.69,59.22,61.51,78.31,6.2,9.07,36.32
STU471,84.48,59.94,78.12,81.51,9.45,2.81,36.91
STU472,79.12,47.13,85.55,64,8.55,9.52,36.33
STU473,58.48,62.79,66.46,70.69,7.48,7.18,32.33
STU474,70.27,89.39,80.29,87.78,9.24,3.75,39.64
STU475,59.66,72.48,64.12,35.47,5.58,3.95,30.29
STU476,88.7,75.17,48.43,65.44,8.82,7.11,35
STU477,83.21,62.16,51.07,50.5,5.13,9.11,31.92
STU478,58.22,74.47,70.57,53.4,9.14,5.2,33.43
STU479,75.39,71.61,59.59,93.15,5.02,1.97,33.72
STU480,79.6,56.18,88.4,86.59,5.75,3.64,36.91
STU481,65.31,71.22,65.16,71.09,8.78,6.48,34.21
STU482,56.4,43.97,56.15,69.67,5.37,2.85,26.51
STU483,58.99,74.7,66.93,50.72,5.96,2.21,31.33
STU484,63.36,60.47,48.3,74.73,9.77,1.49,29.28
STU485,83.38,99.5,55.86,54.66,6.92,9.94,38.19
STU486,99.3,45.47,96.34,90.03,7.66,5.05,40.23
STU487,96.43,93.39,42.34,90.11,5.79,4.78,37.23
STU488,63.68,90.69,59.92,96.6,7.54,9.46,37.36
STU489,67.72,41.09,38.91,69.81,5.05,9.16,26.48
STU490,95.16,47.66,57.51,73.98,6.19,5.54,33.11
STU491,97.87,92.88,74.49,89.92,5.49,6.07,42.4
STU492,76.37,61.38,75.2,56.85,7.32,7.26,34.99
STU493,96.34,41.52,37,95.12,6.27,3.97,30.1
STU494,63.29,42.47,85.28,68.47,5.11,9.04,32.97
STU495,79.36,88.12,65.98,96.35,6.79,7.99,39.34
STU496,57.08,89.53,90.78,53.15,8.61,9.9,39.23
STU497,98.35,50.99,38.57,40.99,7.94,4.32,29.57
STU498,65.46,67.67,87.39,80.59,6.92,5.3,36.83
STU499,87.86,78.58,31.76,93.32,6.69,2.14,32.44
STU500,79.43,73.56,97.73,50.87,9.83,1.41,39.14
